mc,L,F,q,s_max_den,n_density,iteration
2,50,2,300,0.0016,0.0008163265306122449,263665089
2,50,2,300,0.0016,0.0008163265306122449,335981828
2,50,2,300,0.0016,0.0008163265306122449,428133239
2,50,2,300,0.0016,0.0008163265306122449,545559478
2,50,2,300,0.0016,0.0008163265306122449,695192796
2,50,2,300,0.0016,0.0008163265306122449,885866790
2,50,2,300,0.0016,0.0008163265306122449,1128837891
2,50,2,300,0.0016,0.0008163265306122449,1438449888
2,50,2,300,0.0016,0.0008163265306122449,1832980710
2,50,2,300,0.0016,0.0008163265306122449,2335721469
2,50,2,300,0.0016,0.0008163265306122449,2976351441
2,50,2,300,0.0016,0.0008163265306122449,3792690190
2,50,2,300,0.0016,0.0008163265306122449,4832930238
2,50,2,300,0.0016,0.0008163265306122449,6158482110
2,50,2,300,0.0016,0.0008163265306122449,7847599703
2,50,2,500,0.0008,0.026530612244897958,1
2,50,2,500,0.0008,0.026530612244897958,2
2,50,2,500,0.0008,0.026530612244897958,3
2,50,2,500,0.0008,0.026530612244897958,4
2,50,2,500,0.0008,0.026530612244897958,5
2,50,2,500,0.0008,0.026530612244897958,6
2,50,2,500,0.0008,0.026530612244897958,8
2,50,2,500,0.0008,0.026530612244897958,11
2,50,2,500,0.0008,0.026530612244897958,14
2,50,2,500,0.0008,0.026530612244897958,18
2,50,2,500,0.0008,0.026530612244897958,23
2,50,2,500,0.0008,0.026530612244897958,29
2,50,2,500,0.0008,0.026530612244897958,37
2,50,2,500,0.0008,0.026326530612244898,48
2,50,2,500,0.0008,0.026326530612244898,61
2,50,2,500,0.0008,0.026122448979591838,78
2,50,2,500,0.0008,0.026122448979591838,100
2,50,2,500,0.0008,0.026122448979591838,127
2,50,2,500,0.0008,0.025918367346938774,162
2,50,2,500,0.0008,0.025918367346938774,206
2,50,2,500,0.0008,0.025918367346938774,263
2,50,2,500,0.0008,0.025714285714285714,335
2,50,2,500,0.0008,0.025714285714285714,428
2,50,2,500,0.0008,0.02510204081632653,545
2,50,2,500,0.0008,0.02510204081632653,695
