mc,F,q,s_max_den,n_density,iteration
1,2,2,0.221,0.0,28565684
1,2,2,0.221,0.0,34425988
1,2,2,0.221,0.0,41488545
1,2,2,0.221,0.0,49999999
2,2,2,0.006,0.3353353353353353,1
2,2,2,0.006,0.3353353353353353,2
2,2,2,0.006,0.3353353353353353,3
2,2,2,0.006,0.3353353353353353,4
2,2,2,0.006,0.33433433433433435,5
2,2,2,0.006,0.33433433433433435,6
2,2,2,0.006,0.33433433433433435,7
2,2,2,0.006,0.33433433433433435,9
2,2,2,0.006,0.33433433433433435,11
2,2,2,0.006,0.33433433433433435,13
2,2,2,0.006,0.33433433433433435,16
2,2,2,0.006,0.33433433433433435,19
2,2,2,0.006,0.33433433433433435,23
2,2,2,0.006,0.3303303303303303,28
2,2,2,0.006,0.3303303303303303,34
2,2,2,0.007,0.32932932932932935,41
2,2,2,0.007,0.3283283283283283,50
2,2,2,0.007,0.32732732732732733,60
2,2,2,0.008,0.3233233233233233,73
2,2,2,0.008,0.32232232232232233,88
2,2,2,0.008,0.3213213213213213,106
2,2,2,0.009,0.3173173173173173,127
2,2,2,0.009,0.3133133133133133,154
2,2,2,0.009,0.3083083083083083,185
2,2,2,0.011,0.3033033033033033,223
2,2,2,0.011,0.3003003003003003,269
2,2,2,0.012,0.2912912912912913,325
2,2,2,0.012,0.27427427427427425,392
2,2,2,0.013,0.26426426426426425,472
2,2,2,0.013,0.25125125125125125,569
2,2,2,0.016,0.23223223223223224,686
2,2,2,0.018,0.2182182182182182,826
2,2,2,0.021,0.2062062062062062,996
2,2,2,0.025,0.1991991991991992,1201
2,2,2,0.025,0.17517517517517517,1447
2,2,2,0.027,0.15615615615615616,1744
2,2,2,0.028,0.13613613613613615,2102
2,2,2,0.03,0.11711711711711711,2533
2,2,2,0.032,0.09509509509509509,3053
2,2,2,0.036,0.08508508508508508,3679
2,2,2,0.042,0.06106106106106106,4434
2,2,2,0.044,0.04504504504504504,5344
2,2,2,0.048,0.03303303303303303,6441
2,2,2,0.05,0.01701701701701702,7762
2,2,2,0.052,0.005005005005005005,9355
2,2,2,0.052,0.003003003003003003,11274
2,2,2,0.052,0.002002002002002002,13587
2,2,2,0.052,0.001001001001001001,16374
2,2,2,0.052,0.0,19733
2,2,2,0.052,0.0,23782
2,2,2,0.052,0.0,28661
2,2,2,0.052,0.0,34541
2,2,2,0.052,0.0,41627
2,2,2,0.052,0.0,50167
2,2,2,0.052,0.0,60459
2,2,2,0.052,0.0,72863
2,2,2,0.052,0.0,87811
2,2,2,0.052,0.0,105825
2,2,2,0.052,0.0,127535
2,2,2,0.052,0.0,153700
2,2,2,0.052,0.0,185232
2,2,2,0.052,0.0,223232
2,2,2,0.052,0.0,269029
2,2,2,0.052,0.0,324221
2,2,2,0.052,0.0,390736
2,2,2,0.052,0.0,470896
2,2,2,0.052,0.0,567501
2,2,2,0.052,0.0,683925
2,2,2,0.052,0.0,824234
2,2,2,0.052,0.0,993327
2,2,2,0.052,0.0,1197110
2,2,2,0.052,0.0,1442699
2,2,2,0.052,0.0,1738672
2,2,2,0.052,0.0,2095364
2,2,2,0.052,0.0,2525232
2,2,2,0.052,0.0,3043288
2,2,2,0.052,0.0,3667625
2,2,2,0.052,0.0,4420045
2,2,2,0.052,0.0,5326826
2,2,2,0.052,0.0,6419634
2,2,2,0.052,0.0,7736635
2,2,2,0.052,0.0,9323820
